User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration (Months)
JIO1000,Basic,14.6,2020-11-22,2023-11-06,India,44,Other,Smart TV,1
JIO1001,Premium,8.83,2022-04-05,2024-08-08,UK,32,Male,Mobile,12
JIO1002,Free,3.07,2020-02-01,2023-09-24,UK,43,Female,Mobile,12
JIO1003,Free,12.0,2023-08-07,2024-05-29,UK,51,Female,Mobile,1
JIO1004,Free,1.54,2023-12-24,2024-11-11,Canada,59,Other,Laptop,12
JIO1005,Basic,4.69,2021-04-16,2024-01-03,Australia,44,Male,Laptop,12
JIO1006,Premium,14.98,2021-05-03,2024-11-29,USA,58,Female,Tablet,1
JIO1007,Basic,9.68,2021-11-06,2024-06-22,Canada,27,Other,Tablet,3
JIO1008,Free,12.72,2020-05-02,2024-04-20,India,47,Female,Smart TV,1
JIO1009,Basic,13.43,2020-05-03,2023-06-09,Canada,29,Female,Tablet,12
JIO1010,Premium,1.46,2022-04-20,2024-09-06,UK,48,Other,Mobile,6
JIO1011,Premium,1.03,2023-03-30,2023-05-10,USA,54,Female,Tablet,3
JIO1012,Premium,11.92,2022-11-17,2023-06-26,Australia,49,Other,Tablet,12
JIO1013,Free,11.57,2022-06-27,2024-11-12,India,31,Male,Mobile,6
JIO1014,Basic,11.78,2021-11-24,2023-09-06,Canada,54,Female,Smart TV,12
JIO1015,Premium,11.74,2021-10-29,2024-09-20,USA,27,Female,Laptop,1
JIO1016,Free,1.25,2023-11-26,2024-05-16,USA,19,Other,Smart TV,6
JIO1017,Basic,12.58,2020-05-27,2023-11-04,USA,31,Male,Mobile,1
JIO1018,Basic,7.92,2023-05-04,2024-05-05,Canada,43,Female,Smart TV,1
JIO1019,Basic,12.22,2020-06-24,2024-11-29,Australia,53,Other,Tablet,12
JIO1020,Free,11.75,2020-12-23,2023-10-26,India,55,Male,Smart TV,1
JIO1021,Premium,4.47,2021-10-18,2023-07-11,Canada,25,Other,Mobile,6
JIO1022,Basic,11.76,2023-06-05,2024-11-07,Australia,46,Male,Laptop,6
JIO1023,Free,12.59,2023-05-13,2023-06-07,India,50,Other,Mobile,3
JIO1024,Basic,1.0,2024-01-09,2023-10-29,Canada,59,Female,Tablet,6
JIO1025,Basic,9.06,2022-09-21,2024-06-15,Australia,21,Other,Tablet,6
JIO1026,Free,2.99,2020-11-05,2024-06-24,USA,25,Male,Laptop,12
JIO1027,Free,4.16,2023-10-28,2023-10-20,Australia,27,Other,Laptop,12
JIO1028,Premium,14.56,2020-11-08,2024-07-28,USA,24,Other,Laptop,6
JIO1029,Premium,9.13,2023-04-11,2023-07-19,India,56,Male,Laptop,12
JIO1030,Free,6.62,2022-05-10,2024-06-08,India,33,Other,Laptop,3
JIO1031,Premium,3.52,2021-02-02,2023-12-04,Canada,54,Other,Mobile,6
JIO1032,Basic,3.1,2022-04-12,2024-07-03,India,40,Female,Mobile,12
JIO1033,Free,11.23,2021-09-20,2023-07-10,USA,25,Other,Tablet,1
JIO1034,Basic,7.28,2023-02-19,2023-05-29,India,27,Other,Laptop,12
JIO1035,Premium,14.18,2020-01-01,2023-07-12,India,28,Other,Mobile,3
JIO1036,Premium,10.29,2023-12-25,2024-06-12,UK,33,Female,Mobile,12
JIO1037,Premium,14.45,2024-01-24,2023-12-14,UK,27,Other,Laptop,12
JIO1038,Basic,11.59,2023-06-22,2024-02-29,India,40,Male,Laptop,1
JIO1039,Premium,13.75,2020-12-04,2024-12-02,Canada,25,Other,Mobile,12
JIO1040,Free,4.6,2022-12-18,2024-06-18,India,54,Other,Smart TV,6
JIO1041,Premium,14.7,2020-09-10,2023-11-18,UK,41,Male,Laptop,1
JIO1042,Basic,9.14,2021-12-08,2023-06-13,Canada,29,Male,Laptop,6
JIO1043,Free,4.57,2021-11-25,2024-09-03,India,25,Male,Tablet,6
JIO1044,Premium,0.03,2023-02-21,2024-10-17,UK,30,Male,Smart TV,3
JIO1045,Basic,12.32,2021-09-04,2024-01-11,Australia,38,Male,Tablet,1
JIO1046,Basic,2.18,2023-10-14,2023-06-26,UK,20,Male,Laptop,3
JIO1047,Basic,3.49,2021-04-01,2023-06-26,India,34,Other,Smart TV,6
JIO1048,Basic,1.61,2021-04-08,2024-08-19,Australia,22,Other,Laptop,12
JIO1049,Premium,2.41,2020-09-25,2023-08-12,India,39,Male,Mobile,3
JIO1050,Free,9.92,2022-05-26,2024-06-06,Canada,38,Other,Laptop,1
JIO1051,Free,10.54,2022-02-07,2023-12-02,Australia,49,Female,Laptop,1
JIO1052,Free,4.76,2023-03-19,2023-08-13,India,33,Male,Mobile,1
JIO1053,Basic,2.86,2022-12-03,2023-06-04,Canada,24,Female,Mobile,6
JIO1054,Free,13.01,2021-11-20,2024-05-15,UK,45,Other,Smart TV,6
JIO1055,Basic,0.61,2020-08-29,2024-11-11,UK,58,Male,Smart TV,1
JIO1056,Free,11.09,2021-07-09,2024-05-14,UK,53,Other,Smart TV,3
JIO1057,Free,7.81,2022-08-04,2023-06-20,India,38,Female,Smart TV,3
JIO1058,Free,2.68,2022-06-14,2023-04-23,Canada,30,Female,Tablet,6
JIO1059,Free,10.92,2020-05-07,2023-06-29,UK,45,Female,Laptop,1
JIO1060,Free,7.5,2021-07-06,2024-08-23,India,59,Female,Mobile,12
JIO1061,Premium,12.72,2021-03-30,2023-10-22,India,52,Male,Smart TV,6
JIO1062,Premium,3.92,2023-07-15,2023-05-19,India,60,Female,Smart TV,1
JIO1063,Free,2.85,2023-05-21,2024-06-18,USA,45,Female,Smart TV,12
JIO1064,Free,4.48,2020-03-11,2024-08-03,India,46,Male,Tablet,12
JIO1065,Premium,0.21,2022-05-13,2023-09-19,India,23,Other,Smart TV,12
JIO1066,Free,4.94,2020-10-02,2024-01-25,USA,23,Male,Laptop,1
JIO1067,Free,1.48,2020-12-01,2023-05-19,Australia,18,Male,Mobile,1
JIO1068,Free,12.46,2020-02-23,2023-11-17,USA,32,Other,Laptop,1
JIO1069,Premium,5.66,2021-06-20,2024-08-15,USA,32,Male,Smart TV,3
JIO1070,Free,13.21,2021-05-13,2024-09-09,USA,32,Male,Laptop,12
JIO1071,Free,14.22,2022-05-26,2023-10-05,Australia,53,Other,Smart TV,1
JIO1072,Free,1.69,2022-09-25,2024-09-15,USA,55,Female,Smart TV,6
JIO1073,Premium,12.61,2023-10-17,2024-05-20,USA,19,Female,Mobile,1
JIO1074,Basic,6.89,2023-03-24,2024-01-22,USA,22,Other,Smart TV,3
JIO1075,Basic,13.92,2022-06-04,2024-05-14,Canada,39,Female,Laptop,1
JIO1076,Premium,9.33,2023-03-16,2023-05-30,India,35,Female,Mobile,3
JIO1077,Free,1.86,2020-09-17,2023-08-07,USA,32,Other,Laptop,12
JIO1078,Premium,12.0,2022-09-20,2023-04-21,India,32,Female,Laptop,3
